,,Profile dimensions,,,,,Area properties,,,,,Inertia properties about major axis y-y,,,,Inertia properties about minor axis z-z,,,,Torsional & warping properties,,,,Axial force & shear resistance,,,Bending major axis y-y,,Bending minor axis z-z,,Buckling curve,,Section classification,,
UB533x210x82,dxf,528,209,9.6,13.2,13,82.2,1.851,10469,5782,5512,475.4,213.1,1800,2059,20.07,43.8,192.3,300.4,515,53.65,1330000,49460,3716.5,1185.05,1129.8,638.89,730.81,68.26,106.63,a,b,1,4,1
UB533x210x92,dxf,533,209,10.1,15.6,13,92.1,1.861,11738,6083,6530,552.3,216.9,2072,2360,23.89,45.1,228.3,355.6,757,74.95,1600000,59090,4166.92,1246.77,1338.42,735.54,837.83,81.04,126.23,a,b,1,4,1
UB533x210x101,dxf,537,210,10.8,17.4,13,101,1.87,12867,6505,7308,615.2,218.7,2292,2612,26.92,45.7,256.4,399.4,1010,93.52,1810000,66390,4567.78,1333.18,1497.84,813.83,927.26,91.01,141.8,a,b,1,4,1
UB533x210x109,dxf,540,211,11.6,18.8,13,109,1.877,13887,6986,7926,668.2,219.4,2477,2828,29.43,46,279.2,435.8,1260,108.6,1990000,72520,4929.73,1431.94,1624.52,879.4,1004.09,99.11,154.7,a,b,1,4,1
UB533x210x122,dxf,544,212,12.7,21.3,13,122,1.889,15540,7649,9027,760.4,221.2,2793,3196,33.88,46.7,319.7,499.7,1780,140.2,2320000,83700,5516.53,1567.73,1850.16,991.56,1134.44,113.5,177.4,a,b,1,4,1
UB533x210x138,dxf,549,214,14.7,23.6,13,138.3,1.903,17612,8854,10096,860.9,221.1,3136,3613,38.64,46.8,361.3,568.4,2500,170.1,2670000,95010,6252.42,1814.61,2069.29,1113.14,1282.56,128.26,201.79,a,b,1,3,1
UB533x312x150,dxf,542,312,12.7,20.3,13,150.6,2.286,19180,7649,12667,1006,229.1,3710,4142,102.9,73.2,659.3,1010,2160,170.1,7010000,172100,6808.82,1567.73,2596.26,1317.04,1470.25,234.06,358.39,a,b,1,4,1
UB533x312x165,dxf,546,313,14,22.2,13,165.3,2.294,21058,8427,13897,1110,229.5,4064,4555,113.6,73.4,725.8,1113,2830,202.1,7790000,190100,7475.61,1727.17,2848.36,1442.83,1616.89,257.66,395.26,a,b,1,3,1
UB533x312x182,dxf,551,314,15.2,24.4,13,181.5,2.307,23115,9155,15348,1232,230.9,4475,5030,126.7,74,805.5,1237,3730,245.4,8770000,211900,8205.8,1876.33,3145.63,1588.66,1785.76,285.95,439.18,a,b,1,3,1
UB533x312x196,dxf,554,316,16.5,26.3,13,196.5,2.317,25033,9928,16622,1340,231.4,4837,5457,138.5,74.4,876.7,1349,4700,284.8,9640000,231200,8886.77,2034.78,3406.75,1717.24,1937.22,311.23,478.81,a,b,1,2,1
UB533x312x219,dxf,560,317,18.3,29.2,13,218.7,2.332,27859,11022,18536,1510,232.8,5389,6109,155.9,74.8,982.3,1515,6420,350.8,11000000,261000,9890.08,2259.01,3799.16,1913.13,2168.73,348.72,537.66,a,b,1,1,1
UB533x312x248,dxf,571,315,19,34.5,13,246.6,2.342,31411,11446,21735,1775,237.7,6217,7062,180,75.7,1143,1759,9770,514.2,13000000,307700,11151.07,2345.88,4454.79,2207.08,2506.94,405.78,624.32,a,b,1,1,1
UB533x312x272,dxf,577,320,21.1,37.6,13,273.2,2.371,34808,12708,24079,1986,238.9,6882,7858,206.1,77,1288,1985,12880,610.4,15000000,347300,12356.69,2604.65,4935.22,2443.08,2789.75,457.11,704.76,a,b,1,1,1
UB610x178x82,dxf,599,178,10,12.8,20,83.4,1.854,10628,6876,4554,574.9,232.6,1921,2252,12.09,33.7,136,220.1,570,57,1040000,39920,3772.8,1409.3,933.43,681.85,799.32,48.27,78.14,a,b,1,4,1
UB610x178x92,dxf,603,179,10.9,15,20,93.8,1.865,11953,7495,5364,661.9,235.3,2196,2569,14.39,34.7,161,260.2,810,74.31,1240000,47180,4243.34,1536.14,1099.4,779.41,911.84,57.14,92.37,a,b,1,4,1
UB610x178x100,dxf,607,179,11.3,17.2,20,101.9,1.875,12983,7770,6164,741.5,239,2441,2844,16.61,35.8,185.3,297.9,1070,94.69,1450000,54840,4608.87,1592.51,1263.47,866.7,1009.44,65.79,105.77,a,b,1,4,1
UB610x229x101,dxf,603,228,10.5,14.8,20,102.8,2.06,13097,7220,6737,774,243.1,2569,2939,29.17,47.2,256.4,402.5,867,82.57,2520000,75350,4649.37,1479.77,1380.8,911.92,1043.24,91.01,142.87,a,b,1,4,1
UB610x229x113,dxf,608,228,11.1,17.3,20,114.6,2.071,14599,7632,7896,889.4,246.8,2927,3338,34.37,48.5,301.2,471.5,1230,110.8,2990000,88790,5182.78,1564.32,1618.3,1039.25,1185.12,106.93,167.4,a,b,1,4,1
UB610x229x125,dxf,612,229,11.9,19.6,20,126.7,2.082,16139,8182,8977,1002,249.2,3274,3733,39.35,49.4,343.7,537.8,1680,141.2,3450000,101700,5729.3,1677.07,1839.88,1162.39,1325.37,122.01,190.91,a,b,1,4,1
UB610x229x140,dxf,617,230,13.1,22.1,20,141.5,2.095,18025,9023,10175,1134,250.8,3674,4200,45.09,50,391.7,613.9,2330,177.9,3990000,116500,6398.7,1849.38,2085.43,1304.44,1490.87,139.06,217.94,a,b,1,4,1
UB610x305x149,dxf,612,305,11.8,19.7,20,150,2.386,19114,8125,12009,1267,257.5,4139,4624,93.09,69.8,610.9,938.6,2080,176.3,8180000,181100,6785.43,1665.34,2461.38,1469.37,1641.63,216.85,333.2,a,b,1,4,1
UB610x305x179,dxf,620,307,14.1,23.6,20,179.9,2.406,22918,9699,14495,1539,259.1,4962,5578,114.1,70.6,743.1,1145,3510,248.9,10200000,222700,8135.81,1987.99,2970.91,1761.68,1980.22,263.8,406.58,a,b,1,4,1
UB610x305x238,dxf,636,311,18.4,31.4,20,239,2.446,30442,12720,19556,2103,262.9,6616,7517,158.4,72.1,1017,1576,8030,436.4,14500000,308200,10807.08,2607.15,4008.17,2348.8,2668.52,361.14,559.35,a,b,1,2,1
UB610x324x155,dxf,611,324,12.7,19,20,156.5,2.458,19932,8733,12312,1306,255.9,4273,4784,107.8,73.6,665.7,1024,2100,165.4,9450000,197100,7076.02,1789.81,2523.46,1517.06,1698.19,236.33,363.55,a,b,1,4,1
UB610x324x174,dxf,616,325,14,21.6,20,175.9,2.47,22403,9623,14040,1487,257.7,4829,5418,123.8,74.3,761.6,1173,2980,212.9,10900000,225700,7952.91,1972.33,2877.63,1714.17,1923.33,270.37,416.33,a,b,1,4,1
UB610x324x195,dxf,622,327,15.4,24.4,20,197.3,2.487,25128,10593,15958,1695,259.7,5449,6130,142.4,75.3,871.1,1343,4180,271.4,12700000,260000,8920.53,2171.08,3270.66,1934.28,2176.13,309.24,476.66,a,b,1,4,1
UB610x324x217,dxf,628,328,16.5,27.7,20,219.5,2.501,27962,11356,18171,1924,262.3,6126,6903,163.2,76.4,995,1533,5860,355.2,14700000,298600,9926.67,2327.58,3724.36,2174.8,2450.68,353.24,544.35,a,b,1,3,1
UB610x324x241,dxf,635,329,17.9,31,20,243.3,2.516,30998,12395,20398,2170,264.6,6835,7726,184.3,77.1,1121,1728,8020,448,16800000,338200,11004.31,2540.46,4180.76,2426.26,2742.84,397.8,613.53,a,b,1,2,1
UB610x324x262,dxf,641,327,19,34,20,262.7,2.518,33466,13236,22236,2376,266.4,7412,8405,198.5,77,1214,1874,10280,541.1,18300000,368800,11880.56,2712.92,4557.48,2631.26,2983.79,431.08,665.38,a,b,1,2,1
UB610x324x285,dxf,647,329,20.6,37.1,20,287,2.534,36555,14391,24412,2623,267.9,8108,9231,220.7,77.7,1342,2074,13290,645.1,20500000,408700,12976.97,2949.63,5003.43,2878.28,3276.97,476.27,736.17,a,b,1,1,1
UB610x324x307,dxf,653,330,22.1,39.9,20,308.9,2.547,39345,15489,26334,2852,269.3,8736,9985,239.6,78,1452,2248,16460,744.8,22500000,444800,13967.5,3174.59,5397.4,3101.33,3544.62,515.47,797.99,a,b,1,1,1
UB610x324x341,dxf,661,333,24.4,43.9,20,342,2.571,43567,17157,29237,3198,271,9678,11120,271,78.9,1627,2525,21960,900,25800000,502200,15466.23,3516.41,5992.48,3435.56,3948.41,577.74,896.39,b,c,1,1,1
UB610x324x372,dxf,669,335,26.4,48,20,373.9,2.591,47631,18658,32160,3548,272.9,10610,12250,301.8,79.6,1802,2799,28500,1080,29100000,559500,16908.85,3824.08,6591.49,3765.37,4348.57,639.54,993.75,b,c,1,1,1
UB686x254x125,dxf,678,253,11.7,16.2,20,126.3,2.31,16093,9063,8197,1194,272.4,3524,4040,43.85,52.2,346.7,544.1,1240,106,4800000,114700,5712.98,1857.51,1680.09,1251.05,1434.23,123.06,193.16,a,b,1,4,1
UB686x254x140,dxf,684,254,12.4,19,20,141.2,2.323,17988,9605,9641,1377,276.7,4030,4604,51.86,53.7,408.8,639.9,1790,144.4,5720000,135700,6385.8,1968.64,1975.93,1430.63,1634.44,145.12,227.18,a,b,1,4,1
UB686x254x152,dxf,688,254,13.2,21,20,153.5,2.332,19553,10225,10689,1518,278.6,4416,5046,57.86,54.4,454.7,712,2310,175,6430000,151600,6941.3,2095.65,2190.81,1567.79,1791.47,161.43,252.76,a,b,1,4,1
UB686x254x170,dxf,693,256,14.5,23.7,20,171.4,2.346,21828,11232,12125,1718,280.5,4958,5677,66.33,55.1,518.6,813.3,3220,222.1,7430000,173600,7748.95,2302.04,2485.12,1760.22,2015.23,184.11,288.74,a,b,1,4,1
UB762x267x134,dxf,750,264,12,15.5,20,134.8,2.499,17168,10354,8196,1521,297.6,4055,4683,47.9,52.8,362.3,571.3,1250,104.2,6460000,133100,6094.56,2122.07,1679.93,1439.51,1662.44,128.61,202.8,a,b,1,4,1
UB762x267x147,dxf,754,265,12.8,17.5,20,147.8,2.509,18829,11044,9282,1699,300.4,4506,5194,54.57,53.8,411.6,648.6,1660,129.7,7400000,151500,6684.14,2263.54,1902.43,1599.58,1843.97,146.1,230.25,a,b,1,4,1
UB762x267x161,dxf,758,266,13.8,19.3,20,161.2,2.518,20539,11913,10268,1873,301.9,4941,5700,60.75,54.4,456.8,720.9,2150,155.8,8290000,168800,7291.23,2441.73,2104.44,1753.94,2023.43,162.15,255.94,a,b,1,4,1
UB762x267x173,dxf,762,267,14.3,21.6,20,173.9,2.528,22147,12338,11521,2067,305.5,5422,6236,68.52,55.6,513.8,808.9,2770,193.7,9400000,190400,7862.01,2528.8,2361.43,1924.99,2213.93,182.41,287.17,a,b,1,4,1
UB762x267x185,dxf,766,267,14.9,23.6,20,185.7,2.536,23656,12852,12602,2241,307.8,5852,6724,75.12,56.4,562.7,885.2,3430,230.2,10400000,209900,8397.84,2634.17,2582.98,2077.59,2387.19,199.76,314.25,a,b,1,4,1
UB762x267x197,dxf,770,268,15.6,25.4,20,197.6,2.546,25174,13460,13614,2413,309.6,6270,7205,81.77,57,610.2,960.1,4170,267.3,11300000,226600,8936.83,2758.69,2790.4,2225.79,2557.89,216.63,340.84,a,b,1,4,1
UB838x292x176,dxf,835,292,14,18.8,20,176.4,2.774,22473,13395,10968,2471,331.6,5920,6836,78,58.9,534.8,842.8,2270,162.1,13000000,218400,7978.09,2745.36,2247.98,2101.51,2426.68,189.86,299.21,a,b,1,4,1
UB838x292x194,dxf,841,292,14.7,21.7,20,194.3,2.787,24754,14064,12690,2803,336.5,6668,7668,90.68,60.5,620.2,974.8,3120,212.2,15200000,253900,8787.61,2882.62,2600.97,2367.01,2722.18,220.18,346.05,a,b,1,4,1
UB838x292x210,dxf,846,293,15.4,24.4,20,211.3,2.799,26919,14732,14298,3117,340.3,7369,8456,102.6,61.7,700.3,1099,4130,268.2,17300000,287500,9556.12,3019.51,2930.59,2616.08,3001.84,248.6,390.07,a,b,1,4,1
UB838x292x226,dxf,851,294,16.1,26.8,20,227.1,2.81,28928,15404,15748,3408,343.2,8010,9183,113.6,62.7,773.4,1213,5220,324.2,19300000,318800,10269.29,3157.16,3227.63,2843.69,3259.9,274.56,430.48,a,b,1,4,1
UB914x305x201,dxf,903,303,15.1,20.2,19,200.9,2.956,25592,15630,12253,3253,356.5,7204,8351,94.23,60.7,621.4,982,2910,192.7,18400000,274900,9085.07,3203.58,2511.43,2557.37,2964.69,220.58,348.6,a,b,1,4,1
UB914x305x224,dxf,910,304,15.9,23.9,19,224.2,2.973,28564,16458,14536,3764,363,8269,9535,112.4,62.7,739,1163,4220,265.4,22100000,327900,10140.39,3373.3,2979.28,2935.56,3384.75,262.33,413.02,a,b,1,4,1
UB914x305x239,dxf,915,305,16.5,25.9,19,238.3,2.984,30355,17091,15799,4065,365.9,8885,10230,122.9,63.6,805.6,1267,5150,312.1,24300000,358400,10776.01,3503.03,3238.15,3154.05,3631.96,285.98,449.91,a,b,1,4,1
UB914x305x253,dxf,918,306,17.3,27.9,19,253.4,2.991,32283,17908,17047,4363,367.6,9501,10940,133,64.2,870.8,1371,6260,361.8,26400000,388200,11460.48,3670.33,3493.92,3373,3884.41,309.13,486.54,a,b,1,4,1
UB914x305x271,dxf,923,307,18.4,30,19,271.7,3.004,34612,19055,18420,4716,369.1,10220,11780,145.2,64.8,945.8,1491,7700,418.5,28900000,421700,12287.39,3905.51,3775.35,3627.94,4183.41,335.76,529.3,a,b,1,4,1
UB914x305x289,dxf,927,308,19.5,32,19,289.1,3.012,36827,20185,19693,5042,370,10880,12570,156,65.1,1014,1601,9260,474.9,31200000,453400,13073.46,4137.07,4036.22,3863.29,4462.24,359.9,568.45,a,b,1,4,1
UB914x305x313,dxf,932,309,21.1,34.5,19,312.8,3.025,39843,21851,21321,5483,371,11770,13630,170.4,65.4,1103,1748,11620,550.7,34300000,494700,14144.43,4478.6,4369.94,4176.94,4838.74,391.52,620.45,a,b,1,4,1
UB914x419x343,dxf,912,418,19.4,32,24,343.3,3.417,43730,19737,26784,6258,378.3,13730,15480,391.6,94.6,1871,2890,11930,614.9,75800000,823500,15524.11,4045.24,5489.63,4872.82,5494.32,664.29,1025.8,a,b,1,4,1
UB914x419x365,dxf,916,419,20.3,34.3,24,364.8,3.428,46472,20643,28771,6711,380,14650,16540,422.4,95.3,2015,3112,14420,710.3,82100000,888100,16497.43,4230.91,5896.85,5201.79,5870.45,715.15,1104.64,a,b,1,4,1
UB914x419x388,dxf,921,420,21.4,36.6,24,388,3.44,49422,21772,30781,7196,381.6,15630,17670,454.4,95.9,2161,3341,17340,810.3,88900000,956200,17544.84,4462.27,6308.77,5547.67,6271.16,767.21,1186.02,a,b,1,4,1
UB1016x305x222,dxf,970,300,16,21.1,30,222,3.057,28282,17820,12660,4080,379.8,8409,9807,95.46,58.1,636.4,1020,3900,243.8,21500000,302000,10040.17,3652.28,2594.79,2985.18,3481.57,225.92,362.19,a,b,1,4,1
UB1016x305x249,dxf,980,300,16.5,26,30,248.7,3.076,31686,18376,15600,4812,389.7,9819,11350,117.5,60.9,783.6,1245,5820,352.7,26800000,374500,11248.61,3766.41,3197.37,3485.83,4028.7,278.19,441.88,a,b,1,4,1
UB1016x305x272,dxf,990,300,16.5,31,30,272.3,3.096,34686,18458,18600,5540,399.6,11190,12830,140,63.5,933.6,1470,8350,506.1,32200000,447600,12313.61,3783.08,3812.24,3972.55,4553.27,331.44,521.75,a,b,1,4,1
UB1016x305x314,dxf,1000,300,19.1,35.9,30,314.3,3.11,40039,21339,21540,6441,401.1,12880,14850,162.3,63.7,1082,1713,12640,661.8,37700000,521400,14213.94,4373.62,4414.82,4573.31,5271.27,384.15,608.01,a,b,1,4,1
UB1016x305x349,dxf,1008,302,21.1,40,30,349.4,3.13,44515,23599,24160,7231,403,14350,16590,184.6,64.4,1223,1941,17180,814.2,43300000,592400,15802.99,4836.93,4951.82,5092.98,5890.06,434.01,688.95,a,b,1,4,1
UB1016x305x393,dxf,1016,303,24.4,43.9,30,392.7,3.143,50022,27175,26603,8075,401.8,15900,18540,205,64,1353,2168,23300,954.9,48400000,657300,17757.67,5569.72,5452.62,5643.54,6580.61,480.27,769.62,b,c,1,4,1
UB1016x305x437,dxf,1026,305,26.9,49,30,437,3.168,55668,29997,29929,9103,404.4,17740,20770,234.5,64.9,1535,2469,31850,1184,56000000,750700,19762.02,6148.07,6134.27,6298.88,7372.62,545.09,876.34,b,c,1,3,1
UB1016x305x487,dxf,1036,308,30,54.1,30,486.7,3.195,61995,33485,33380,10220,406,19720,23210,267.2,65.7,1732,2800,42990,1433,64400000,850100,22008.32,6862.97,6841.48,7001.23,8238.26,614.98,994,b,c,1,2,1
